path,country,adm_level,eng_name,loc_name,nuts_level
./geoeu/content/data/aut/adm0,AUT,0,Country,Staat,0
./geoeu/content/data/aut/adm1,AUT,1,Federal States,Bundesländer,2
./geoeu/content/data/aut/adm2,AUT,2,Districts | Statutory Cities,Bezirke | Statutarstädte,
./geoeu/content/data/aut/adm3,AUT,3,Municipalities,Gemeinden,
./geoeu/content/data/aut/adm4,AUT,4,Neighbourhood,Ortsteil,
./geoeu/content/data/bel/adm0,BEL,0,Country,Pays | Land,0
./geoeu/content/data/bel/adm1,BEL,1,Federal Regions,Régions | Gewesten,1
./geoeu/content/data/bel/adm2,BEL,2,Provinces,Provinces | Provincies,2
./geoeu/content/data/bel/adm3,BEL,3,Districts,Arrondissements | Arrondissementen,3
./geoeu/content/data/bel/adm4,BEL,4,Municipalities,Communes | Gemeenten,
./geoeu/content/data/bgr/adm0,BGR,0,Country,държава (Dŭrzhava),0
./geoeu/content/data/bgr/adm1,BGR,1,Provinces,Области (Oblasti),3
./geoeu/content/data/bgr/adm2,BGR,2,Municipalities,Общини (Obshtini),
./geoeu/content/data/cyp/adm0,CYP,0,Country,Χώρα,0
./geoeu/content/data/cyp/adm1,CYP,1,Provinces,επαρχίες,1
./geoeu/content/data/cyp/adm2,CYP,2,Communities,Κοινότητες,
./geoeu/content/data/cze/adm0,CZE,0,Country,Stát,0
./geoeu/content/data/cze/adm1,CZE,1,Regions,Kraje,3
./geoeu/content/data/cze/adm2,CZE,2,Districts,Okresy,
./geoeu/content/data/cze/adm3,CZE,3,Municipalities,Pověřená obce,
./geoeu/content/data/cze/adm4,CZE,4,Villages,Obce,
./geoeu/content/data/deu/adm0,DEU,0,Country,Bundesstaat,0
./geoeu/content/data/deu/adm1,DEU,1,Federal States,Länder,1
./geoeu/content/data/deu/adm2,DEU,2,Government Districts,Regierungsbezirke,2
./geoeu/content/data/deu/adm3,DEU,3,Districts,Kreise,3
./geoeu/content/data/dnk/adm0,DNK,0,Country,Land,0
./geoeu/content/data/dnk/adm1,DNK,1,Regions,Regioner,2
./geoeu/content/data/dnk/adm2,DNK,2,Municipalities,Kommuner,
./geoeu/content/data/esp/adm0,ESP,0,Country,País,0
./geoeu/content/data/esp/adm1,ESP,1,Autonomous Communities,Comunidades Autónomas,2
./geoeu/content/data/esp/adm2,ESP,2,Provinces,Provincias,3
./geoeu/content/data/esp/adm3,ESP,3,Municipalities,Municipios,
./geoeu/content/data/est/adm0,EST,0,Country,Riik,0
./geoeu/content/data/est/adm1,EST,1,Counties,Maakonnad,3
./geoeu/content/data/est/adm2,EST,2,Municipalities,Vald,
./geoeu/content/data/est/adm3,EST,3,Neighbourhoods,Asumid,
./geoeu/content/data/fin/adm0,FIN,0,Country,Maa,0
./geoeu/content/data/fin/adm1,FIN,1,Regions,Maakunnat,3
./geoeu/content/data/fin/adm2,FIN,2,Sub-Regions,Seutukunnat,
./geoeu/content/data/fin/adm3,FIN,3,Municipalities,Kunnat,
./geoeu/content/data/fra/adm0,FRA,0,Country,Pays,0
./geoeu/content/data/fra/adm1,FRA,1,Regions,Régions,1
./geoeu/content/data/fra/adm2,FRA,2,Departments,Départements,3
./geoeu/content/data/fra/adm3,FRA,3,Districts,Arrondissements,
./geoeu/content/data/fra/adm4,FRA,4,Cantons,Cantons,
./geoeu/content/data/fra/adm5,FRA,5,Municipalities,Communes,
./geoeu/content/data/grc/adm0,GRC,0,Country,Χώρα,0
./geoeu/content/data/grc/adm1,GRC,1,Group of Regions,Γεωγραφική Ομάδα,
./geoeu/content/data/grc/adm2,GRC,2,Regions,Περιφέρειες,2
./geoeu/content/data/grc/adm3,GRC,3,Municipalities,δήμοι,
./geoeu/content/data/hrv/adm0,HRV,0,Country,Država,0
